iter	Passed	Remaining
0	47	47770
1	94	47304
2	141	47115
3	202	50518
4	262	52215
5	321	53280
6	379	53767
7	434	53902
8	464	51096
9	518	51346
10	575	51701
11	638	52596
12	680	51671
13	741	52237
14	798	52456
15	856	52668
16	915	52930
17	981	53554
18	1029	53175
19	1087	53277
20	1144	53364
21	1204	53528
22	1271	53990
23	1331	54141
24	1391	54269
25	1449	54282
26	1507	54342
27	1565	54358
28	1623	54362
29	1671	54042
30	1730	54081
31	1784	53995
32	1840	53925
33	1890	53724
34	1938	53451
35	1984	53153
36	2041	53142
37	2093	53006
38	2149	52963
39	2213	53122
40	2268	53054
41	2319	52896
42	2372	52806
43	2426	52711
44	2478	52600
45	2536	52598
46	2593	52589
47	2652	52613
48	2710	52607
49	2765	52544
50	2820	52487
51	2877	52458
52	2935	52452
53	2993	52437
54	3062	52617
55	3129	52748
56	3187	52735
57	3251	52802
58	3355	53510
59	3429	53729
60	3494	53794
61	3550	53715
62	3608	53674
63	3674	53736
64	3729	53649
65	3781	53515
66	3831	53348
67	3871	53068
68	3919	52884
69	3964	52666
70	4012	52496
71	4059	52323
72	4102	52092
73	4148	51917
74	4201	51813
75	4259	51781
76	4303	51586
77	4347	51387
78	4391	51196
79	4435	51007
80	4479	50828
81	4526	50674
82	4563	50414
83	4615	50336
84	4660	50172
85	4704	49997
86	4747	49819
87	4790	49641
88	4834	49482
89	4876	49305
90	4917	49125
91	4960	48962
92	5003	48799
93	5045	48634
94	5086	48458
95	5127	48282
96	5172	48152
97	5223	48077
98	5262	47895
99	5306	47756
100	5352	47640
101	5382	47389
102	5429	47285
103	5473	47154
104	5516	47018
105	5558	46882
106	5599	46736
107	5645	46628
108	5688	46499
109	5730	46367
110	5775	46253
111	5813	46093
112	5864	46030
113	5913	45960
114	5963	45892
115	6015	45844
116	6069	45803
117	6119	45738
118	6145	45500
119	6196	45442
120	6255	45442
121	6307	45396
122	6362	45363
123	6412	45303
124	6465	45255
125	6515	45198
126	6565	45128
127	6618	45085
128	6672	45053
129	6713	44931
130	6735	44682
131	6779	44583
132	6827	44510
133	6873	44419
134	6914	44304
135	6957	44198
136	6999	44091
137	7040	43976
138	7080	43859
139	7122	43751
140	7152	43577
141	7200	43508
142	7252	43463
143	7295	43366
144	7336	43257
145	7379	43167
146	7422	43072
147	7465	42977
