investor_sector,project_sector,investor_location,project_location,investor_risk,project_risk,investor_size,project_size,past_return,expected_return,cosine_similarity,suitability_score,final_label
real_estate,real_estate,riyadh,dammam,medium,low,medium,large,0.118,0.08,0.0,4,0
real_estate,agriculture,riyadh,riyadh,medium,high,medium,small,0.118,0.172,0.299,2,0
real_estate,tech,riyadh,dammam,medium,high,medium,small,0.118,0.193,0.306,1,0
real_estate,agriculture,riyadh,jeddah,medium,medium,medium,medium,0.118,0.16,0.528,4,0
real_estate,tech,riyadh,jeddah,medium,medium,medium,small,0.118,0.136,0.76,3,0
real_estate,real_estate,riyadh,dammam,medium,low,medium,small,0.118,0.157,0.528,5,0
real_estate,agriculture,riyadh,dammam,medium,medium,medium,small,0.118,0.201,0.533,3,0
real_estate,agriculture,riyadh,riyadh,medium,medium,medium,small,0.118,0.139,0.283,4,0
real_estate,tech,riyadh,dammam,medium,medium,medium,small,0.118,0.128,0.036,3,0
real_estate,tech,riyadh,riyadh,medium,low,medium,small,0.118,0.15,0.289,4,0
real_estate,agriculture,riyadh,riyadh,medium,low,medium,small,0.118,0.202,0.533,4,0
real_estate,agriculture,riyadh,jeddah,medium,medium,medium,medium,0.118,0.173,0.299,4,0
real_estate,agriculture,riyadh,jeddah,medium,medium,medium,medium,0.118,0.109,0.508,3,0
real_estate,real_estate,riyadh,riyadh,medium,high,medium,large,0.118,0.13,0.278,4,0
real_estate,tech,riyadh,riyadh,medium,low,medium,small,0.118,0.173,0.763,4,0
real_estate,real_estate,riyadh,jeddah,medium,high,medium,medium,0.118,0.08,0.244,3,0
real_estate,tech,riyadh,jeddah,medium,medium,medium,medium,0.118,0.18,0.302,4,0
real_estate,agriculture,riyadh,jeddah,medium,medium,medium,large,0.118,0.085,0.492,2,0
real_estate,agriculture,riyadh,riyadh,medium,low,medium,small,0.118,0.177,0.531,4,0
real_estate,tech,riyadh,jeddah,medium,low,medium,medium,0.118,0.128,0.518,4,0
real_estate,tech,riyadh,riyadh,medium,medium,medium,large,0.118,0.139,0.283,4,0
real_estate,agriculture,riyadh,riyadh,medium,high,medium,medium,0.118,0.178,0.301,3,0
real_estate,agriculture,riyadh,riyadh,medium,medium,medium,small,0.118,0.124,0.274,4,0
real_estate,agriculture,riyadh,riyadh,medium,medium,medium,small,0.118,0.118,0.513,4,0
real_estate,agriculture,riyadh,dammam,medium,high,medium,small,0.118,0.215,0.533,1,0
real_estate,real_estate,riyadh,jeddah,medium,medium,medium,medium,0.118,0.147,0.287,6,0
real_estate,tech,riyadh,dammam,medium,medium,medium,large,0.118,0.206,0.31,3,0
