investor_sector,project_sector,investor_location,project_location,investor_risk,project_risk,investor_size,project_size,past_return,expected_return,cosine_similarity,suitability_score,final_label
tech,tech,jeddah,riyadh,high,high,medium,medium,0.165,0.181,0.782,6,1
tech,agriculture,jeddah,dammam,medium,high,medium,medium,0.124,0.173,0.075,2,0
tech,tech,jeddah,riyadh,high,low,medium,small,0.144,0.183,0.777,5,1
tech,tech,jeddah,jeddah,low,medium,small,small,0.109,0.136,0.276,5,0
agriculture,agriculture,dammam,dammam,high,low,large,medium,0.144,0.081,0.712,5,1
real_estate,agriculture,jeddah,jeddah,low,medium,medium,large,0.087,0.181,0.026,2,0
agriculture,agriculture,riyadh,riyadh,medium,medium,large,large,0.176,0.191,0.579,7,1
tech,tech,jeddah,riyadh,high,medium,medium,small,0.144,0.194,0.559,5,0
real_estate,agriculture,jeddah,dammam,high,high,medium,medium,0.105,0.173,0.284,4,0
agriculture,tech,jeddah,dammam,high,medium,large,small,0.075,0.093,1.0,3,1
tech,agriculture,jeddah,jeddah,low,medium,medium,large,0.176,0.181,0.359,2,0
tech,agriculture,riyadh,jeddah,low,low,medium,large,0.178,0.197,0.17,3,0
agriculture,agriculture,jeddah,riyadh,high,medium,medium,large,0.087,0.191,0.492,5,0
agriculture,tech,jeddah,riyadh,high,medium,medium,large,0.072,0.114,0.994,3,1
agriculture,agriculture,dammam,jeddah,high,medium,small,large,0.108,0.181,0.289,5,0
real_estate,agriculture,riyadh,jeddah,low,medium,medium,large,0.128,0.181,0.087,1,0
real_estate,real_estate,dammam,dammam,low,low,medium,large,0.121,0.091,0.739,5,1
tech,tech,dammam,jeddah,medium,medium,large,small,0.138,0.183,0.326,5,0
tech,tech,jeddah,riyadh,high,medium,large,small,0.094,0.187,0.735,5,1
agriculture,agriculture,riyadh,riyadh,high,low,medium,small,0.098,0.177,0.744,6,1
real_estate,real_estate,jeddah,riyadh,medium,low,medium,medium,0.144,0.201,0.344,6,0
agriculture,agriculture,jeddah,jeddah,high,low,small,large,0.144,0.197,0.779,6,1
agriculture,agriculture,dammam,riyadh,medium,high,medium,medium,0.137,0.178,0.322,4,0
agriculture,real_estate,riyadh,dammam,low,medium,small,small,0.129,0.121,0.515,1,0
agriculture,real_estate,riyadh,jeddah,medium,medium,large,small,0.136,0.112,0.508,2,0
agriculture,agriculture,dammam,dammam,low,high,small,small,0.135,0.153,0.767,5,1
real_estate,tech,riyadh,jeddah,high,low,large,medium,0.146,0.152,0.539,3,0
real_estate,tech,dammam,jeddah,low,low,large,medium,0.105,0.128,1.0,3,1
real_estate,real_estate,jeddah,dammam,medium,low,medium,large,0.082,0.091,0.75,5,1
agriculture,agriculture,dammam,dammam,medium,low,medium,medium,0.08,0.081,0.0,7,0
tech,tech,dammam,dammam,medium,medium,large,large,0.096,0.206,0.727,7,1
tech,agriculture,riyadh,riyadh,medium,high,small,small,0.16,0.172,0.338,3,0
agriculture,agriculture,jeddah,riyadh,high,medium,large,small,0.1,0.158,0.752,5,1
tech,tech,riyadh,riyadh,medium,medium,medium,medium,0.087,0.163,0.978,7,1
real_estate,tech,dammam,dammam,low,medium,small,small,0.173,0.083,0.684,2,0
tech,tech,riyadh,dammam,high,medium,large,medium,0.106,0.088,0.251,4,0
real_estate,tech,jeddah,jeddah,low,low,medium,medium,0.087,0.128,0.996,5,1
agriculture,agriculture,riyadh,riyadh,high,medium,small,small,0.109,0.158,0.521,7,1
tech,agriculture,jeddah,jeddah,high,medium,large,small,0.094,0.169,0.033,4,0
agriculture,tech,jeddah,jeddah,medium,medium,medium,medium,0.164,0.18,0.782,5,1
tech,tech,jeddah,riyadh,low,medium,large,small,0.15,0.159,0.319,3,0
tech,agriculture,jeddah,riyadh,low,medium,small,small,0.148,0.158,0.09,2,0
tech,tech,dammam,riyadh,medium,low,small,small,0.166,0.15,0.319,5,0
tech,tech,riyadh,riyadh,high,medium,large,small,0.083,0.159,0.737,6,1
real_estate,agriculture,jeddah,dammam,medium,low,small,small,0.158,0.182,0.345,4,0
tech,tech,dammam,riyadh,medium,low,small,small,0.144,0.173,1.0,6,1
agriculture,real_estate,dammam,dammam,high,medium,large,large,0.162,0.211,0.999,5,1
tech,tech,dammam,riyadh,high,medium,small,large,0.109,0.118,0.755,5,1
real_estate,tech,dammam,riyadh,low,low,medium,small,0.121,0.173,0.765,3,0
real_estate,tech,jeddah,riyadh,low,high,medium,medium,0.156,0.181,0.343,2,0
tech,agriculture,jeddah,jeddah,medium,medium,medium,medium,0.091,0.16,0.983,5,1
agriculture,real_estate,jeddah,dammam,medium,medium,large,medium,0.151,0.201,0.568,3,0
agriculture,agriculture,riyadh,dammam,medium,low,large,medium,0.071,0.166,0.718,5,1
agriculture,agriculture,riyadh,dammam,low,low,small,small,0.164,0.165,0.774,6,1
tech,tech,riyadh,dammam,medium,medium,medium,small,0.117,0.117,0.754,5,1
tech,tech,jeddah,jeddah,high,low,large,medium,0.163,0.128,0.747,5,1
tech,tech,riyadh,dammam,low,medium,small,medium,0.164,0.175,0.126,3,0
